rank,song,artist,year
100,Yeah Boy,Kelsea Ballerini,2017
1,Work,Rihanna Featuring Drake,2016
2,Love Yourself,Justin Bieber,2016
3,Stressed Out,twenty one pilots,2016
4,Sorry,Justin Bieber,2016
5,My House,Flo Rida,2016
6,Pillowtalk,Zayn,2016
7,"Me, Myself & I",G-Eazy x Bebe Rexha,2016
8,Hello,Adele,2016
9,Cake By The Ocean,DNCE,2016
10,Roses,The Chainsmokers Featuring Rozes,2016
11,Hands To Myself,Selena Gomez,2016
12,7 Years,Lukas Graham,2016
13,Down In The DM,Yo Gotti Featuring Nicki Minaj,2016
14,One Call Away,Charlie Puth,2016
15,I Took A Pill In Ibiza,Mike Posner,2016
16,Stitches,Shawn Mendes,2016
17,Don't,Bryson Tiller,2016
18,When We Were Young,Adele,2016
19,In The Night,The Weeknd,2016
20,Same Old Love,Selena Gomez,2016
21,Hotline Bling,Drake,2016
22,The Hills,The Weeknd,2016
23,Hide Away,Daya,2016
24,Jumpman,Drake & Future,2016
25,What Do You Mean?,Justin Bieber,2016
26,Here,Alessia Cara,2016
27,Say It,Tory Lanez,2016
28,Oui,Jeremih,2016
29,2 Phones,Kevin Gates,2016
30,679,Fetty Wap Featuring Remy Boyz,2016
31,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,2016
32,Summer Sixteen,Drake,2016
33,Adventure Of A Lifetime,Coldplay,2016
34,Ex's & Oh's,Elle King,2016
35,Let It Go,James Bay,2016
36,Back To Sleep,Chris Brown,2016
37,Exchange,Bryson Tiller,2016
38,Can't Feel My Face,The Weeknd,2016
39,Die A Happy Man,Thomas Rhett,2016
40,Antidote,Travis Scott,2016
41,Stand By You,Rachel Platten,2016
42,White Iverson,Post Malone,2016
43,Something In The Way You Move,Ellie Goulding,2016
44,Heartbeat,Carrie Underwood,2016
45,See You Again,Wiz Khalifa Featuring Charlie Puth,2016
46,Wildest Dreams,Taylor Swift,2016
47,Sugar,Robin Schulz Featuring Francesco Yates,2016
48,Best Friend,Young Thug,2016
49,Lean On,Major Lazer & DJ Snake Featuring MO,2016
50,You Should Be Here,Cole Swindell,2016
51,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,2016
52,Drunk On Your Love,Brett Eldredge,2016
53,Low Life,Future Featuring The Weeknd,2016
54,Break On Me.,Keith Urban,2016
55,My Church,Maren Morris,2016
56,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,2016
57,Middle,DJ Snake Featuring Bipolar Sunshine,2016
58,Never Forget You,Zara Larsson & MNEK,2016
59,Beautiful Drug,Zac Brown Band,2016
60,Backroad Song,Granger Smith,2016
61,Really Really,Kevin Gates,2016
62,Confession,Florida Georgia Line,2016
63,We Went,Randy Houser,2016
64,Needed Me,Rihanna,2016
65,Get Ugly,Jason Derulo,2016
66,Jimmy Choo,Fetty Wap,2016
67,Youth,Troye Sivan,2016
68,Make Me Like You,Gwen Stefani,2016
69,Dibs,Kelsea Ballerini,2016
70,Nobody To Blame,Chris Stapleton,2016
71,Snapback,Old Dominion,2016
72,I Like The Sound Of That,Rascal Flatts,2016
73,Humble And Kind,Tim McGraw,2016
74,Think Of You,Chris Young Duet With Cassadee Pope,2016
75,Lost Boy,Ruth B,2016
76,Acquainted,The Weeknd,2016
77,Out Of The Woods,Taylor Swift,2016
78,Somewhere On A Beach,Dierks Bentley,2016
79,Perfect,One Direction,2016
80,Might Be,DJ Luke Nasty,2016
81,Don't Let Me Down,The Chainsmokers Featuring Daya,2016
82,Promise,Kid Ink Featuring Fetty Wap,2016
83,Little Bit Of You,Chase Bryant,2016
84,Hollow,Tori Kelly,2016
85,Mind Reader,Dustin Lynch,2016
86,Sorry Not Sorry,Bryson Tiller,2016
87,Look At My Dab,Migos,2016
88,The Sound Of Silence,Disturbed,2016
89,Watch Out,2 Chainz,2016
90,Walking On A Dream,Empire Of The Sun,2016
91,Wild Things,Alessia Cara,2016
92,That Don't Sound Like You,Lee Brice,2016
93,Saved,Ty Dolla $ign Featuring E-40,2016
94,Cut It,O.T. Genasis Featuring Young Dolph,2016
95,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,2016
96,Panda,Desiigner,2016
97,Cheap Thrills,Sia Featuring Sean Paul,2016
98,History,One Direction,2016
99,I Love This Life,LOCASH,2016
100,Might Not,Belly Featuring The Weeknd,2016
1,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015
2,Thinking Out Loud,Ed Sheeran,2015
3,Love Me Like You Do,Ellie Goulding,2015
4,Sugar,Maroon 5,2015
5,Take Me To Church,Hozier,2015
6,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015
7,Blank Space,Taylor Swift,2015
8,Style,Taylor Swift,2015
9,Earned It (Fifty Shades Of Grey),The Weeknd,2015
10,Lips Are Movin,Meghan Trainor,2015
11,Time Of Our Lives,Pitbull & Ne-Yo,2015
12,I'm Not The Only One,Sam Smith,2015
13,I Don't Mind,Usher Featuring Juicy J,2015
14,Centuries,Fall Out Boy,2015
15,Shake It Off,Taylor Swift,2015
16,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015
17,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,2015
18,Jealous,Nick Jonas,2015
19,All About That Bass,Meghan Trainor,2015
20,Stay With Me,Sam Smith,2015
21,Ghost,Ella Henderson,2015
22,She Knows,Ne-Yo Featuring Juicy J,2015
23,Prayer In C,Lillywood & Robin Schulz,2015
24,I Don't F**k With You,Big Sean Featuring E-40,2015
25,7/11,Beyonce,2015
26,Energy,Drake,2015
27,Somebody,Natalie La Rose Featuring Jeremih,2015
28,I Bet My Life,Imagine Dragons,2015
29,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015
30,Chandelier,Sia,2015
31,Riptide,Vance Joy,2015
32,Ayo,Chris Brown & Tyga,2015
33,Love Me Harder,Ariana Grande & The Weeknd,2015
34,One Last Time,Ariana Grande,2015
35,Trap Queen,Fetty Wap,2015
36,CoCo,O.T. Genasis,2015
37,Animals,Maroon 5,2015
38,No Type,Rae Sremmurd,2015
39,Take Your Time,Sam Hunt,2015
40,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015
41,Elastic Heart,Sia,2015
42,Chains,Nick Jonas,2015
43,Outside,Calvin Harris Featuring Ellie Goulding,2015
44,The Heart Wants What It Wants,Selena Gomez,2015
45,Make Me Wanna,Thomas Rhett,2015
46,Heartbeat Song,Kelly Clarkson,2015
47,Lonely Tonight,Blake Shelton Featuring Ashley Monroe,2015
48,Shut Up And Dance,WALK THE MOON,2015
49,Tuesday,I LOVE MAKONNEN Featuring Drake,2015
50,Habits (Stay High),Tove Lo,2015
51,Wonderland,Taylor Swift,2015
52,Legend,Drake,2015
53,I See You,Luke Bryan,2015
54,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015
55,Night Changes,One Direction,2015
56,Sun Daze,Florida Georgia Line,2015
57,Mean To Me,Brett Eldredge,2015
58,10 Bands,Drake,2015
59,Ain't Worth The Whiskey,Cole Swindell,2015
60,Just Gettin' Started,Jason Aldean,2015
61,Apparently,J. Cole,2015
62,Feeling Myself,Nicki Minaj Featuring Beyonce,2015
63,I Lived,OneRepublic,2015
64,Like A Cowboy,Randy Houser,2015
65,Talking Body,Tove Lo,2015
66,Homegrown,Zac Brown Band,2015
67,Drinking Class,Lee Brice,2015
68,Blessings,Big Sean Featuring Drake,2015
69,Often,The Weeknd,2015
70,Know Yourself,Drake,2015
71,Lonely Eyes,Chris Young,2015
72,Lay Me Down,Sam Smith,2015
73,Homegrown Honey,Darius Rucker,2015
74,Only One,Kanye West Featuring Paul McCartney,2015
75,Stuck On A Feeling,Prince Royce Featuring Snoop Dogg,2015
76,Geronimo,Sheppard,2015
77,The Hanging Tree,James Newton Howard Featuring Jennifer Lawrence,2015
78,Throw Sum Mo,Rae Sremmurd Featuring Nicki Minaj & Young Thug,2015
79,Say You Do,Dierks Bentley,2015
80,Talladega,Eric Church,2015
81,No Tellin',Drake,2015
82,Preach,Drake Featuring PARTYNEXTDOOR,2015
83,6 God,Drake,2015
84,Used To,Drake Featuring Lil Wayne,2015
85,Take It On Back,Chase Bryant,2015
86,A Guy Walks Into A Bar,Tyler Farr,2015
87,Sledgehammer,Fifth Harmony,2015
88,What Kind Of Man,Florence + The Machine,2015
89,Shots,Imagine Dragons,2015
90,Try Me,DeJ Loaf,2015
91,The Body,Wale Featuring Jeremih,2015
92,What We Ain't Got,Jake Owen,2015
93,Little Red Wagon,Miranda Lambert,2015
94,Budapest,George Ezra,2015
95,Now & Forever,Drake,2015
96,Slow Motion,Trey Songz,2015
97,6 Man,Drake,2015
98,Not For Long,B.o.B Featuring Trey Songz,2015
99,Glory,Common & John Legend,2015
100,Go Hard Or Go Home,Wiz Khalifa & Iggy Azalea,2015
1,Happy,Pharrell Williams,2014
2,Dark Horse,Katy Perry Featuring Juicy J,2014
3,Talk Dirty,Jason Derulo Featuring 2 Chainz,2014
4,All Of Me,John Legend,2014
5,Drunk In Love,Beyonce Featuring Jay Z,2014
6,Pompeii,Bastille,2014
7,Team,Lorde,2014
8,Say Something,A Great Big World & Christina Aguilera,2014
9,Counting Stars,OneRepublic,2014
10,Timber,Pitbull Featuring Ke$ha,2014
11,Let Her Go,Passenger,2014
12,Story Of My Life,One Direction,2014
13,The Man,Aloe Blacc,2014
14,The Monster,Eminem Featuring Rihanna,2014
15,Burn,Ellie Goulding,2014
16,Show Me,Kid Ink Featuring Chris Brown,2014
17,Royals,Lorde,2014
18,Let It Go,Idina Menzel,2014
19,Demons,Imagine Dragons,2014
20,Wake Me Up!,Avicii,2014
21,Roar,Katy Perry,2014
22,My Hitta,YG Featuring Jeezy & Rich Homie Quan,2014
23,Best Day Of My Life,American Authors,2014
24,Hey Brother,Avicii,2014
25,Adore You,Miley Cyrus,2014
26,Can't Remember To Forget You,Shakira Featuring Rihanna,2014
27,Radioactive,Imagine Dragons,2014
28,Chillin' It,Cole Swindell,2014
29,Turn Down For What,DJ Snake & Lil Jon,2014
30,Love Me Again,John Newman,2014
31,Wrecking Ball,Miley Cyrus,2014
32,Young Girls,Bruno Mars,2014
33,Paranoid,Ty Dolla $ign Featuring B.o.B,2014
34,Bottoms Up,Brantley Gilbert,2014
35,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014
36,Animals,Martin Garrix,2014
37,Drink A Beer,Luke Bryan,2014
38,Neon Lights,Demi Lovato,2014
39,Brave,Sara Bareilles,2014
40,When She Says Baby,Jason Aldean,2014
41,Sail,AWOLNATION,2014
42,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2014
43,Doin' What She Likes,Blake Shelton,2014
44,Safe And Sound,Capital Cities,2014
45,Sweater Weather,The Neighbourhood,2014
46,Compass,Lady Antebellum,2014
47,Give Me Back My Hometown,Eric Church,2014
48,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014
49,Whatever She's Got,David Nail,2014
50,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014
51,Helluva Life,Frankie Ballard,2014
52,Cop Car,Keith Urban,2014
53,I Hold On,Dierks Bentley,2014
54,See You Tonight,Scotty McCreery,2014
55,Na Na,Trey Songz,2014
56,Drink To That All Night,Jerrod Niemann,2014
57,Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,2014
58,Rap God,Eminem,2014
59,Stoner,Young Thug,2014
60,Take Me Home,Cash Cash Featuring Bebe Rexha,2014
61,Let It Go,Demi Lovato,2014
62,Up Down (Do This All Day),T-Pain Featuring B.o.B,2014
63,Rewind,Rascal Flatts,2014
64,19 You + Me,Dan + Shay,2014
65,Love Don't Die,The Fray,2014
66,Get Me Some Of That,Thomas Rhett,2014
67,Human,Christina Perri,2014
68,This Is How We Roll,Florida Georgia Line Ft. Jason Derulo & Luke Bryan,2014
69,Goodnight Kiss,Randy Houser,2014
70,Do I Wanna Know?,Arctic Monkeys,2014
71,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn & Katie Lopez",2014
72,The Language,Drake,2014
73,Everything I Shouldn't Be Thinking About,Thompson Square,2014
74,The Worst,Jhene Aiko,2014
75,Unconditionally,Katy Perry,2014
76,Friday Night,Eric Paslay,2014
77,Stay,Florida Georgia Line,2014
78,Odio,Romeo Santos Featuring Drake,2014
79,Waiting For Superman,Daughtry,2014
80,Chocolate,The 1975,2014
81,Man Of The Year,ScHoolboy Q,2014
82,For The First Time In Forever,Kristen Bell & Idina Menzel,2014
83,Ride,SoMo,2014
84,The Heart Of Dixie,Danielle Bradbery,2014
85,On Top Of The World,Imagine Dragons,2014
86,Do What U Want,Lady Gaga Featuring R. Kelly,2014
87,They Don't Know,Rico Love,2014
88,Glory And Gore,Lorde,2014
89,Beat Of The Music,Brett Eldredge,2014
90,XO,Beyonce,2014
91,Classic,MKTO,2014
92,Oceans (Where Feet May Fail),Hillsong UNITED,2014
93,Worst Behavior,Drake,2014
94,Thinking About You,Calvin Harris Featuring Ayah Marar,2014
95,Can't Raise A Man,K. Michelle,2014
96,Part II (On The Run),Jay Z Featuring Beyonce,2014
97,Partition,Beyonce,2014
98,La La La,Naughty Boy Featuring Sam Smith,2014
99,Ordinary Love,U2,2014
100,Lettin' The Night Roll,Justin Moore,2014
1,Harlem Shake,Baauer,2013
2,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013
3,When I Was Your Man,Bruno Mars,2013
4,I Knew You Were Trouble.,Taylor Swift,2013
5,Scream & Shout,will.i.am & Britney Spears,2013
6,Started From The Bottom,Drake,2013
7,Stay,Rihanna Featuring Mikky Ekko,2013
8,Suit & Tie,Justin Timberlake Featuring JAY Z,2013
9,Locked Out Of Heaven,Bruno Mars,2013
10,Love Me,Lil Wayne Featuring Drake & Future,2013
11,Ho Hey,The Lumineers,2013
12,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013
13,One Way Or Another (Teenage Kicks),One Direction,2013
14,Daylight,Maroon 5,2013
15,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013
16,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013
17,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013
18,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013
19,I Will Wait,Mumford & Sons,2013
20,Try,P!nk,2013
21,Pour It Up,Rihanna,2013
22,Radioactive,Imagine Dragons,2013
23,It's Time,Imagine Dragons,2013
24,Catch My Breath,Kelly Clarkson,2013
25,Diamonds,Rihanna,2013
26,Little Talks,Of Monsters And Men,2013
27,Gangnam Style,PSY,2013
28,Feel This Moment,Pitbull Featuring Christina Aguilera,2013
29,Home,Phillip Phillips,2013
30,Carry On,fun.,2013
31,Hall Of Fame,The Script Featuring will.i.am,2013
32,Sure Be Cool If You Did,Blake Shelton,2013
33,One More Night,Maroon 5,2013
34,Poetic Justice,Kendrick Lamar Featuring Drake,2013
35,C'mon,Ke$ha,2013
36,Wanted,Hunter Hayes,2013
37,Troublemaker,Olly Murs Featuring Flo Rida,2013
38,Some Nights,fun.,2013
39,Better Dig Two,The Band Perry,2013
40,Adorn,Miguel,2013
41,All Gold Everything,Trinidad James,2013
42,Hey Porsche,Nelly,2013
43,Swimming Pools (Drank),Kendrick Lamar,2013
44,One Of Those Nights,Tim McGraw,2013
45,The A Team,Ed Sheeran,2013
46,Kiss You,One Direction,2013
47,Two Black Cadillacs,Carrie Underwood,2013
48,I'm Different,2 Chainz,2013
49,Sail,AWOLNATION,2013
50,Die Young,Ke$ha,2013
51,Tornado,Little Big Town,2013
52,Neva End,Future,2013
53,Downtown,Lady Antebellum,2013
54,Wicked Games,The Weeknd,2013
55,Loveeeeeee Song,Rihanna Featuring Future,2013
56,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013
57,Somebody's Heartbreak,Hunter Hayes,2013
58,I Drive Your Truck,Lee Brice,2013
59,R.I.P.,Young Jeezy Featuring 2 Chainz,2013
60,Mama's Broken Heart,Miranda Lambert,2013
61,Skyfall,Adele,2013
62,Bugatti,Ace Hood Featuring Future & Rick Ross,2013
63,Merry Go 'round,Kacey Musgraves,2013
64,Get Your Shine On,Florida Georgia Line,2013
65,Don't Stop The Party,Pitbull Featuring TJR,2013
66,The Only Way I Know,Jason Aldean With Luke Bryan & Eric Church,2013
67,Tip It On Back,Dierks Bentley,2013
68,Pirate Flag,Kenny Chesney,2013
69,Who Booty,Jonn Hart Featuring IamSU!,2013
70,Bad,Wale Featuring Tiara Thomas Or Rihanna,2013
71,Give It All We Got Tonight,George Strait,2013
72,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013
73,If I Didn't Have You,Thompson Square,2013
74,I Love It,Icona Pop Featuring Charli XCX,2013
75,Don't Judge Me,Chris Brown,2013
76,Mirrors,Justin Timberlake,2013
77,Battle Scars,Lupe Fiasco & Guy Sebastian,2013
78,Remember You,Wiz Khalifa Featuring The Weeknd,2013
79,Alive,Krewella,2013
80,Ball,T.I. Featuring Lil Wayne,2013
81,Love And War,Tamar Braxton,2013
82,Little Things,One Direction,2013
83,Love Sosa,Chief Keef,2013
84,Stubborn Love,The Lumineers,2013
85,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013
86,Dope,Tyga Featuring Rick Ross,2013
87,Wagon Wheel,Darius Rucker,2013
88,As Your Friend,Afrojack Featuring Chris Brown,2013
89,Next To Me,Emeli Sande,2013
90,Va Va Voom,Nicki Minaj,2013
91,Power Trip,J. Cole Featuring Miguel,2013
92,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013
93,Hold On,Alabama Shakes,2013
94,Anything Could Happen,Ellie Goulding,2013
95,Guap,Big Sean,2013
96,I Can Take It From There,Chris Young,2013
97,We Still In This B****,B.o.B Featuring T.I. & Juicy J,2013
98,Goodbye In Her Eyes,Zac Brown Band,2013
99,Like Jesus Does,Eric Church,2013
100,Karate Chop (Remix),Future Featuring Lil Wayne,2013
